0	1
8	1
9	2
13	2
29	1
32	3
33	4
34	5
35	6
36	7
37	8
38	9
39	10
40	11
41	12
42	13
43	14
44	15
45	16
46	17
47	18
48	19
49	20
50	21
51	22
52	23
53	24
54	25
55	26
56	27
57	28
58	29
59	30
60	31
61	32
62	33
63	34
64	35
65	36
66	37
67	38
68	39
69	40
70	41
71	42
72	43
73	44
74	45
75	46
76	47
77	48
78	49
79	50
80	51
81	52
82	53
83	54
84	55
85	56
86	57
87	58
88	59
89	60
90	61
91	62
92	63
93	64
94	65
95	66
96	67
97	68
98	69
99	70
100	71
101	72
102	73
103	74
104	75
105	76
106	77
107	78
108	79
109	80
110	81
111	82
112	83
113	84
114	85
115	86
116	87
117	88
118	89
119	90
120	91
121	92
122	93
123	94
124	95
125	96
126	97
128	134
129	135
130	137
131	139
132	147
133	152
134	158
135	163
136	162
137	164
138	166
139	165
140	167
141	169
142	171
143	170
144	172
145	173
146	175
147	174
148	176
149	177
150	179
151	181
152	180
153	182
154	184
155	183
156	188
157	187
158	189
159	190
160	2818
161	114
162	100
163	101
164	105
165	2820
166	120
167	161
168	112
169	107
170	3001
171	118
172	106
173	3306
174	136
175	154
176	3240
177	115
178	3310
179	3311
180	103
181	119
182	3212
183	3227
184	3225
185	852
186	3253
187	108
188	124
189	829
190	168
191	186
192	129
193	99
194	110
195	3236
196	340
197	3282
198	3216
199	109
200	125
201	2824
202	98
203	130
204	133
205	151
206	276
207	277
208	2805
209	2806
210	2814
211	2815
212	2810
213	2811
214	185
215	3745
216	193
217	314
218	2854
219	2947
220	2843
221	2844
222	5039
223	5040
224	2819
225	121
226	2812
227	2816
228	2834
229	132
230	140
231	131
232	141
233	138
234	143
235	144
236	145
237	142
238	149
239	150
241	148
242	156
243	157
244	155
245	243
246	648
247	670
248	113
249	666
250	667
251	668
252	122
253	671
254	669
255	649
